AnimalID	SampleID	Age	Strain	Organ	Il1b	Tgfb1	Il1a	Il6	Il10	Ccl5	Hmgb1	Tnf	Cxcr3	Th	Dbh	Adrb2	Adrb1	Adra1a	Adra1b	Cacna1d	Gja1	Ace	Agt	Agtr1	Ren	Agtrap
6S-2	6S-K-2	6	SHR	Kidney	0.448692395	0.156983645	-0.83307964	0.52480722	-0.803084115	-0.151560655	0.026822643	0.046137965	0.01237682	0	-0.135603838	0.278955555	0.141701135	0.16899661	-0.062032425	-1.119254765	0.14651483	0.230856195	-3.31525886	-0.44941909	-0.06407114	-0.3628874
6S-3	6S-K-3	6	SHR	Kidney	-0.080480445	0.091270845	-4.31359826	-3.0644262	-1.107625005	0.113019855	-0.021279303	-0.834864455	0.14854711	-1.89210619	-1.565684992	-0.056653725	-0.025428275	-0.16899661	-0.407201225	-2.259382765	-0.14651483	0.257393725	-2.93054799	-0.18962595	0.08724912	-0.3628874
6W-1	6W-K-1	6	WKY	Kidney	0.080480445	-1.772470775	4.32210593	-2.544318495	5.263138445	0.155279005	-1.257700148	-0.046137965	-0.68626664	-3.002127246	-0.3874426	-1.484557175	0.025428275	-9.66660207	0.733684915	3.963606915	-5.466957639	-5.293284005	10.78688858	2.78872737	-3.19924975	0.39236463
6W-2	6W-K-2	6	WKY	Kidney	0.920485185	-0.780752705	4.12244545	-3.52523238	4.610276825	-0.453759875	-0.277471788	1.468957355	0.55892121	-4.45726452	3.06247471	-0.220737145	-1.024317935	-11.66435044	-0.073229295	3.491649305	-4.908474049	-4.350305835	10.08323846	3.25594169	-0.80437381	0.3628874
6W-3	6W-K-3	6	WKY	Kidney	-0.942054795	0.346039485	0.83307964	0	0.053196425	-0.113019855	0.853203933	0.226143775	-0.01237682	3.74706627	0.3874426	1.242189235	1.762335275	1.4127828	1.093825045	1.119254765	1.766913134	0.253550235	-0.72990262	0.18962595	0.53114575	0.53531561
6S-1	6S-LI-1	6	SHR	Liver	-1.97143969	0	-1.311093618	-0.343602047	0	0.07160139	-1.58844361	0.46087546	0.0477072	-1.690939417	-1.89605564	-0.59427895	0	0.57112515	1.51949208	-1.812031325	0.10691375	0	-10.06251906	-1.57118229	0.190286345	0.34522049
6S-2	6S-LI-2	6	SHR	Liver	-2.0148548	-0.96287883	-0.323690735	0.084180616	0.68191969	-0.15439803	0	0	-0.95158118	0.100422771	1.4139112	0	0.94854194	0	0	-0.342081385	0	-0.25408702	0.05665656	0.19528569	-0.281861575	-0.63217942
6S-3	6S-LI-3	6	SHR	Liver	0	0.09136031	0.453393945	0	2.25389508	-0.57090761	0.13558662	1.04730928	-0.18021041	0	0	1.87082683	2.28409075	-0.94558645	-0.94156249	1.775140855	-0.62255973	1.97673328	0	0	-0.545798725	0
6W-1	6W-LI-1	6	WKY	Liver	0.21808639	-1.24349642	0.323690735	2.9230392	-1.70434956	0	-0.55850972	-1.14605163	0	4.66249328	4.60258726	-0.67264124	-1.43578964	-2.18857115	-1.00824847	1.422708935	-1.10988324	-0.39029195	0.82177238	1.47160474	1.818393615	-0.01897571
6W-2	6W-LI-2	6	WKY	Liver	0.096082015	0.730088485	-0.49047388	-1.194325805	-2.258696815	1.391839995	0.529274955	-0.543828815	0.562272715	-2.407776915	-3.105519815	0.538200355	-0.271493915	0.486745165	1.142046655	0	1.014391417	1.903972425	-5.789961615	-0.826019735	0	0.498180195
6S-1	6S-LV-1	6	SHR	Ventricle	0	0	-0.870109405	-4.053815915	-2.08209759	0	0	-1.58381475	-2.52608882	-0.991128648	-1.770074026	-1.12970605	-1.372552675	1.479989345	2.4985036	-1.953273585	1.953813301	1.45115346	-2.31810672	0	0	-0.53391559
6S-2	6S-LV-2	6	SHR	Ventricle	3.3432945	1.47839616	0.151520275	4.053815915	0	2.63232912	-0.58474825	1.41138016	0.81485034	2.058525303	0.295380485	0.31866499	-0.519375502	-4.900671875	0	1.763250485	-1.48357344	0	1.24154765	0.10220539	-5.82499448	0.96349405
6S-3	6S-LV-3	6	SHR	Ventricle	3.96765711	1.19526176	0.441566755	4.418580855	-1.15041923	1.39002837	0.0721081	-0.08622402	0	0.594748443	-2.430751735	0	-1.323855605	-5.209634045	-0.7778439	0.999585455	-0.87629379	-0.19463172	0	1.37394813	-6.05013136	0
6W-1	6W-LV-1	6	WKY	Ventricle	-3.16842206	-1.31019133	-0.958256865	-0.601582164	2.44383434	-3.05424452	-0.90657784	0	-2.93811754	0.349831732	-0.295380485	-1.56211924	1.323855605	2.562653025	3.03989138	-4.723437255	1.47158359	-0.63863167	-1.85469146	-0.9713939	0.35882253	0.22543732
6W-3	6W-LV-3	6	WKY	Ventricle	-1.935986355	-2.698737025	0	-5.50521723	5.263777155	-2.450572055	0.556528895	3.416911346	0.926787885	-0.594748443	7.57080368	1.537610829	1.95277431	0	-0.312611955	0	0	1.041311715	2.089157025	-0.896282535	1.740032755	-0.943656735
8S-1	8S-AD-1	8	SHR	Adrenal	-4.934836725	-1.046792135	-5.891487855	-12.33137472	0.275780378	-3.878693403	2.109266067	-1.605169225	-3.74596668	7.222051761	7.507073127	-2.601630958	-0.054502605	2.01712399	0.157318963	3.419810248	5.139636584	0.000461613	3.203765455	2.89084688	-0.069734005	3.064242693
8S-2	8S-AD-2	8	SHR	Adrenal	-5.77517592	-2.19141909	-3.48071059	-4.340273085	0.622167853	-4.999813138	1.375714694	-3.76484325	-4.813703765	7.035460105	6.83901096	-3.231776223	-1.04570676	0.296854885	-1.301095003	1.625891703	4.107311211	-0.609868113	2.56811131	2.068261615	-2.28728731	1.429851955
